iter	RMSE
0	3890.645911
1	3749.506573
2	3613.65201
3	3484.013704
4	3359.060303
5	3240.125951
6	3124.971957
7	3015.123318
8	2910.423751
9	2810.15179
10	2714.141575
11	2621.164632
12	2532.363276
13	2444.304188
14	2360.964571
15	2280.382612
16	2206.095569
17	2136.14937
18	2064.327258
19	1997.447686
20	1934.991656
21	1874.154157
22	1816.745711
23	1759.417531
24	1704.73747
25	1652.028725
26	1604.257106
27	1557.061245
28	1511.855098
29	1468.876306
30	1427.685864
31	1388.355995
32	1351.304867
33	1315.185407
34	1282.300659
35	1248.789171
36	1217.71643
37	1188.088231
38	1160.343691
39	1133.895
40	1108.548239
41	1084.597662
42	1061.129495
43	1039.375915
44	1017.910289
45	997.9220909
46	978.0088682
47	960.3236918
48	943.3726658
49	926.3898613
50	910.6489797
51	895.9380129
52	881.9300198
53	868.6569046
54	856.3302842
55	844.3038151
56	831.9678007
57	820.2242093
58	809.430074
59	799.7212281
60	790.1643859
61	781.7072215
62	772.9262956
63	764.6748043
64	757.1927977
65	749.8809468
66	742.9247295
67	736.5833212
68	730.6884495
69	724.8773849
70	719.3992529
71	713.585514
72	708.7770514
73	704.0831709
74	699.3168498
75	695.1506311
76	690.658057
77	686.4427505
78	682.9609279
79	679.4052166
80	675.8563968
81	672.6570287
82	669.6223085
83	666.4733905
84	663.7661038
85	661.0182228
86	658.2749985
87	655.6620121
88	653.166663
89	650.9077805
90	648.6045599
91	646.2717986
92	644.4520817
93	642.4553391
94	640.6290693
95	638.6454455
96	636.900653
97	635.4183954
98	633.8603094
99	632.2840059
100	630.780835
101	629.1525204
102	627.8590983
103	626.4962647
104	625.2696464
105	624.0917018
106	622.8823198
107	621.7441554
108	620.6290364
109	619.5903656
110	618.4600096
111	617.5774798
112	616.6431759
113	615.5603681
114	614.6219584
115	613.648897
116	612.9535899
117	612.1405583
118	611.3309554
119	610.7186938
120	610.0258544
121	609.2355465
122	608.5200563
123	607.8570276
124	607.195782
125	606.4152119
126	605.8450048
127	605.262804
128	604.7829865
129	604.2168947
130	603.6799886
131	603.254053
132	602.7706131
133	602.1843341
134	601.7069763
135	601.1011335
136	600.6515751
137	600.2747885
138	599.8230052
139	599.3799379
140	598.9989443
141	598.6869976
142	598.3576638
143	598.0362814
144	597.4655326
145	597.1124607
146	596.709371
147	596.3168907
148	595.8825735
149	595.5632066
150	595.1684346
151	594.9388811
152	594.4498114
153	594.1455411
154	593.7406704
155	593.5410751
156	593.0748181
157	592.7434608
158	592.4403291
159	592.1375613
160	591.7935131
161	591.5249186
162	591.2621193
163	591.0183036
164	590.7361825
165	590.4899189
166	590.1787445
167	589.9634665
168	589.7450084
169	589.5303341
170	589.3608686
171	589.0102322
172	588.7489176
173	588.5890291
174	588.2279407
175	588.0137078
176	587.7214489
177	587.5510308
178	587.3570653
179	587.2072706
180	587.0266603
181	586.8750562
182	586.5723342
183	586.409927
184	586.1681491
185	586.0368797
186	585.8770687
187	585.7405197
188	585.521566
189	585.3114945
190	585.1724882
191	584.9361048
192	584.7691521
193	584.6387341
194	584.4216653
195	584.3079564
196	584.0864504
197	583.8871265
198	583.6351387
199	583.4977669
200	583.3801582
201	583.1795633
202	582.9729415
203	582.8712358
204	582.7601604
205	582.6257542
206	582.5441072
207	582.3973136
208	582.2789418
209	582.1508901
210	582.0911744
211	581.9648482
212	581.8852776
213	581.7036129
214	581.5346636
215	581.3732121
216	581.2127538
217	581.1394157
218	581.0592683
219	580.9289289
220	580.8604958
221	580.7592541
222	580.6760846
223	580.5948835
224	580.4881895
225	580.2939655
226	580.11999
227	579.9486187
228	579.8608775
229	579.6847484
230	579.5592051
231	579.4943572
232	579.4220756
233	579.2892342
234	579.2297296
235	579.1413855
236	579.0650421
237	578.996688
238	578.9082628
239	578.8076376
240	578.6682901
241	578.5283252
242	578.4461439
243	578.3738104
244	578.3056621
245	578.1990797
246	578.11413
247	577.9883429
248	577.8966674
249	577.8175774
250	577.7566717
251	577.6770228
252	577.6116879
253	577.5108107
254	577.4473864
255	577.3150273
256	577.2468811
257	577.1602133
258	577.0856154
259	577.0074925
260	576.9276523
261	576.8662966
262	576.8057532
263	576.7582436
264	576.7004086
265	576.5906159
266	576.525962
267	576.4743542
268	576.4042489
269	576.3504635
270	576.2254088
271	576.1752827
272	576.1348624
273	576.0576795
274	575.9783684
275	575.9180981
276	575.8678163
277	575.7753888
278	575.7317104
279	575.6208339
280	575.5680871
281	575.5182783
282	575.3836224
283	575.3571394
284	575.2936568
285	575.1928215
286	575.1107961
287	575.0677961
288	575.0004989
289	574.9301225
290	574.8446552
291	574.7385994
292	574.6567131
293	574.5475826
294	574.4498267
295	574.3813189
296	574.3091587
297	574.2595457
298	574.213478
299	574.1648222
300	574.1086621
301	574.0368591
302	573.9767413
303	573.9121921
304	573.7781769
305	573.7118087
306	573.6675909
307	573.6347294
308	573.5903047
309	573.5525613
310	573.4396622
311	573.3903907
312	573.3463917
313	573.2643102
314	573.2104349
315	573.1354093
316	573.0507351
317	572.9991278
318	572.9540883
319	572.8602811
320	572.8179611
321	572.7749375
322	572.731325
323	572.6828913
324	572.6225913
325	572.5657999
326	572.5201435
327	572.4664471
328	572.4196895
329	572.3677871
330	572.305482
331	572.2319454
332	572.1575163
333	572.1159651
334	572.0473263
335	572.0046938
336	571.9524837
337	571.9241775
338	571.8859077
339	571.8113226
340	571.7177344
341	571.6754749
342	571.605975
343	571.570692
344	571.5397483
345	571.5131074
346	571.4507196
347	571.3951513
348	571.3589509
349	571.3207776
350	571.2614304
351	571.1675396
352	571.1072668
353	571.0646307
354	570.9892487
355	570.962239
356	570.9021403
357	570.858332
358	570.8186778
359	570.7909695
360	570.7582896
361	570.7343023
