iter	Passed	Remaining
0	34	17245
1	68	17063
2	101	16760
3	129	16118
4	157	15625
5	187	15449
6	215	15199
7	246	15147
8	276	15108
9	304	14900
10	338	15046
11	364	14828
12	392	14688
13	424	14743
14	455	14720
15	487	14744
16	511	14543
17	541	14510
18	571	14461
19	595	14281
20	618	14116
21	655	14243
22	675	14004
23	696	13816
24	733	13929
25	772	14075
26	799	14007
27	824	13903
28	856	13914
29	885	13872
30	909	13764
31	938	13721
32	968	13710
33	993	13620
34	1021	13576
35	1044	13458
36	1072	13419
37	1102	13407
38	1127	13327
39	1161	13355
40	1187	13293
41	1213	13230
42	1242	13201
43	1268	13147
44	1295	13098
45	1323	13058
46	1350	13020
47	1377	12974
48	1406	12945
49	1432	12893
50	1457	12828
51	1488	12826
52	1513	12766
53	1543	12744
54	1567	12679
55	1594	12643
56	1623	12619
57	1648	12559
58	1668	12473
59	1712	12558
60	1746	12568
61	1768	12495
62	1793	12443
63	1819	12394
64	1846	12355
65	1869	12294
66	1894	12245
67	1922	12211
68	1944	12148
69	1974	12130
70	2002	12099
71	2029	12065
72	2052	12003
73	2080	11975
74	2102	11916
75	2129	11880
76	2158	11855
77	2181	11802
78	2202	11735
79	2231	11714
80	2255	11668
81	2279	11618
82	2305	11582
83	2332	11550
84	2355	11499
85	2382	11467
86	2406	11422
87	2430	11380
88	2457	11350
89	2479	11296
90	2503	11252
91	2529	11219
92	2556	11189
93	2579	11140
94	2602	11096
95	2623	11041
96	2653	11024
97	2680	10996
98	2706	10964
99	2735	10941
100	2762	10913
101	2787	10878
102	2812	10838
103	2843	10826
104	2864	10777
105	2889	10741
106	2917	10714
107	2940	10671
108	2963	10629
109	2999	10635
110	3029	10617
111	3056	10588
112	3076	10537
113	3101	10502
114	3127	10470
115	3149	10427
116	3170	10379
117	3192	10336
118	3224	10322
119	3253	10303
120	3280	10274
121	3303	10235
122	3326	10195
123	3346	10147
124	3370	10112
125	3395	10078
126	3419	10043
127	3445	10012
128	3465	9966
129	3488	9927
130	3512	9892
131	3538	9865
132	3565	9839
133	3597	9826
134	3636	9830
135	3665	9809
136	3686	9768
137	3707	9726
138	3733	9695
139	3760	9670
140	3782	9629
141	3801	9585
142	3827	9556
143	3850	9519
144	3875	9487
145	3900	9456
146	3925	9425
147	3947	9388
148	3974	9363
149	3996	9325
150	4021	9293
151	4046	9263
152	4070	9231
153	4092	9195
154	4122	9175
155	4142	9135
156	4170	9111
157	4195	9082
158	4221	9052
159	4242	9015
160	4273	8997
161	4295	8961
162	4320	8933
163	4345	8902
164	4371	8875
165	4392	8837
166	4419	8813
167	4443	8780
168	4469	8754
169	4493	8723
170	4520	8698
171	4554	8685
172	4581	8659
173	4605	8628
174	4628	8595
175	4656	8571
176	4686	8552
177	4715	8529
178	4741	8502
179	4766	8473
180	4799	8458
181	4825	8432
182	4853	8407
183	4964	8525
184	5024	8554
185	5057	8537
186	5084	8510
187	5120	8497
188	5143	8463
189	5169	8434
190	5190	8397
191	5219	8373
192	5253	8356
