iter	Passed	Remaining
0	31	18689
1	57	17166
2	82	16334
3	110	16392
4	140	16733
5	164	16332
6	191	16241
7	220	16325
8	251	16485
9	280	16535
10	306	16432
11	333	16318
12	358	16209
13	382	16014
14	402	15697
15	423	15459
16	444	15245
17	463	15000
18	487	14913
19	513	14897
20	543	14989
21	574	15097
22	601	15100
23	625	15015
24	652	15013
25	682	15066
26	715	15186
27	741	15140
28	769	15156
29	805	15313
30	833	15293
31	865	15357
32	898	15434
33	924	15388
34	955	15431
35	987	15476
36	1025	15600
37	1055	15610
38	1086	15623
39	1119	15678
40	1149	15666
41	1180	15681
42	1209	15668
43	1245	15736
44	1272	15699
45	1313	15821
46	1354	15937
47	1396	16059
48	1460	16426
49	1511	16624
50	1556	16758
51	1597	16832
52	1651	17049
53	1688	17076
54	1726	17103
55	1771	17208
56	1802	17167
57	1828	17082
58	1856	17027
59	1883	16954
60	1911	16891
61	1943	16863
62	1966	16761
63	1993	16693
64	2019	16622
65	2043	16535
66	2066	16437
67	2091	16359
68	2111	16249
69	2133	16155
70	2158	16083
71	2185	16030
72	2211	15963
73	2242	15939
74	2270	15895
75	2294	15818
76	2317	15743
77	2344	15691
78	2420	15959
79	2456	15968
80	2479	15888
81	2500	15798
82	2520	15702
83	2541	15613
84	2569	15567
85	2590	15482
86	2611	15400
87	2635	15335
88	2657	15259
89	2677	15175
90	2701	15110
91	2721	15025
92	2741	14943
93	2766	14890
94	2794	14857
95	2820	14810
96	2842	14739
97	2874	14725
98	2905	14704
99	2941	14709
100	2976	14704
101	3015	14723
102	3043	14683
103	3068	14635
104	3097	14602
105	3118	14531
106	3139	14464
107	3166	14425
108	3187	14356
109	3213	14316
110	3239	14271
111	3268	14241
112	3298	14217
113	3328	14190
114	3355	14150
115	3383	14118
116	3414	14096
117	3439	14050
118	3472	14035
119	3501	14005
120	3530	13974
121	3563	13962
122	3588	13916
123	3618	13889
124	3642	13841
125	3667	13795
126	3695	13761
127	3718	13710
128	3745	13676
129	3777	13658
130	3819	13676
131	3853	13663
132	3882	13631
133	3913	13610
134	3943	13584
135	3971	13549
136	4000	13521
137	4026	13480
138	4052	13441
139	4085	13424
140	4114	13394
141	4142	13362
142	4173	13336
143	4197	13293
144	4227	13264
145	4255	13232
146	4281	13195
147	4309	13161
148	4333	13116
149	4358	13076
150	4385	13041
151	4410	12999
152	4434	12956
153	4461	12922
154	4486	12881
155	4509	12835
156	4536	12799
157	4561	12761
158	4586	12719
159	4614	12690
160	4640	12652
161	4663	12607
162	4690	12576
163	4713	12529
164	4733	12478
165	4757	12438
166	4778	12389
167	4802	12349
168	4829	12315
169	4855	12281
170	4873	12227
171	4894	12180
172	4919	12142
173	4942	12100
174	4964	12056
175	4993	12029
